session_id,true_label,baseline_decision,baseline_triggered,rf_status,rf_suspicion_score,rf_reason,fixed
FS00465,honest,CHEATING (false positive),voice detected in 2 window(s),SAFE,0.004,no signal significantly above the honest-session baseline,True
FS00677,honest,CHEATING (false positive),voice detected in 2 window(s),SAFE,0.006,"Elevated signals: total eye away sec (19.9, typical honest is <19.3); score drop pct (20.0, typical honest is <14.1)",True
FS00796,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00849,honest,CHEATING (false positive),multiple faces detected during session; voice detected in 1 window(s),SAFE,0.0,Elevated signals: any multi face detected,True
FS00962,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00476,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00721,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00821,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.003,no signal significantly above the honest-session baseline,True
FS01195,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,"Elevated signals: flag window ratio (0.3, typical honest is <0.3)",True
FS00659,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00568,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS01143,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00505,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS01048,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.01,Elevated signals: flags clustered,True
FS00422,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,"Elevated signals: score drop pct (18.3, typical honest is <14.1)",True
FS00703,honest,CHEATING (false positive),voice detected in 2 window(s),SAFE,0.023,"Elevated signals: avg head pose deviation deg (24.9, typical honest is <24.5)",True
FS01070,honest,CHEATING (false positive),multiple faces detected during session; voice detected in 1 window(s),SAFE,0.0,Elevated signals: any multi face detected,True
FS00525,honest,CHEATING (false positive),voice detected in 2 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS01194,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00413,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00976,honest,CHEATING (false positive),voice detected in 1 window(s),REVIEW,0.056,"Elevated signals: total eye away sec (20.4, typical honest is <19.3); flags clustered",True
FS00433,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.001,Elevated signals: flags clustered,True
FS00661,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,Elevated signals: flags clustered,True
FS00414,honest,CHEATING (false positive),voice detected in 2 window(s),SAFE,0.0,"Elevated signals: flag window ratio (0.3, typical honest is <0.3)",True
FS01175,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.015,"Elevated signals: total eye away sec (19.7, typical honest is <19.3); score drop pct (15.3, typical honest is <14.1)",True
FS00945,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.019,"Elevated signals: avg head pose deviation deg (25.8, typical honest is <24.5)",True
FS01016,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,no signal significantly above the honest-session baseline,True
FS00648,honest,CHEATING (false positive),face missing 12s (>12s); voice detected in 2 window(s),SAFE,0.023,"Elevated signals: total face missing sec (12.5, typical honest is <11.7)",True
FS01069,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.0,"Elevated signals: avg head pose deviation deg (24.9, typical honest is <24.5)",True
FS00921,honest,CHEATING (false positive),voice detected in 1 window(s),SAFE,0.001,"Elevated signals: score drop pct (15.1, typical honest is <14.1); flags clustered",True
FS00667,honest,CHEATING (false positive),multiple faces detected during session,SAFE,0.0,Elevated signals: any multi face detected,True
