job_id,title,company,role,required_skills,seats
133,Frontend Developer,Driftwood Analytics,Frontend Developer,"Git,JavaScript,TypeScript,CSS",3
176,Product Manager,Ferrous Tech,Product Manager,"Agile,Roadmapping,Excel,Communication",1
160,Business Analyst,Lumen Stack,Business Analyst,"Communication,Excel,Statistics",3
164,Business Analyst,Harborview Software,Business Analyst,"Statistics,Communication,Power BI",4
170,QA Engineer,Lumen Stack,QA Engineer,"SQL,Git,Manual Testing",4
138,Frontend Developer,Quanta Robotics,Frontend Developer,"CSS,HTML,Git",4
130,Backend Developer,Westgate Solutions,Backend Developer,"Java,Microservices,Spring Boot,REST API",2
102,Data Analyst,Vertex Analytics,Data Analyst,"Data Visualization,Statistics,Python,Excel,SQL",1
153,DevOps Engineer,Meridian Apps,DevOps Engineer,"Docker,AWS,Kubernetes",2
122,ML Engineer,Harborview Software,ML Engineer,"Machine Learning,Docker,Python,Deep Learning",4
103,Data Analyst,Orbit Cloud Co,Data Analyst,"SQL,Data Visualization,Python",5
124,ML Engineer,Westgate Solutions,ML Engineer,"Docker,Python,SQL",1
175,Product Manager,Altrodav Technologies,Product Manager,"Excel,Agile,Stakeholder Management,SQL",1
121,ML Engineer,Orbit Cloud Co,ML Engineer,"Docker,Python,Deep Learning",2
161,Business Analyst,Orbit Cloud Co,Business Analyst,"Excel,Data Visualization,SQL,Power BI",4
172,QA Engineer,Ferrous Tech,QA Engineer,"Git,Test Automation,Manual Testing,Selenium",3
115,Data Scientist,Meridian Apps,Data Scientist,"Statistics,Machine Learning,Deep Learning",5
152,DevOps Engineer,Granite Edge Tech,DevOps Engineer,"AWS,Docker,CI/CD,Git",3
